Location,Hygiene,Micromanagement,Working Hours,Salary,Age,Infrastructure,Food Quality,Incentives,Family Size,Experience,Share Price,Attrition,Contract Workers,Location_Score,Internal_Audit,External_Audit,Fin_Score,Loss_Score,Past_Score,IsUnderRisk
Asia-Pacific,1,10,2,44407,16,3,4,343,9,14,952,5,5685,8.5,25.225457142857145,11.153329618676153,25.365914285714286,15.617,18.75946666666667,0
Asia-Pacific,2,10,3,34389,63,6,2,9219,2,26,22,39,4513,46.9,33.331133333333334,30.980855228379983,30.243571428571432,24.488,19.046333333333333,0
Asia-Pacific,5,7,12,49643,57,10,1,415,7,21,205,35,4736,46.9,37.77786666666667,33.41189833269041,29.296409523809526,15.105000000000002,34.031133333333344,0
Latin America and the Caribbean,3,5,15,15514,42,2,2,9476,2,49,525,33,4648,51.8,30.80316190476191,22.57848642007058,27.993685714285714,15.801333333333334,12.421533333333333,1
Middle East,5,2,21,25438,70,2,5,466,10,7,1475,5,4780,8.5,31.9042,22.397354021116396,23.975904761904765,16.565333333333335,21.797533333333334,0
Developed Economies and EU,5,10,7,9169,60,9,3,377,6,37,1318,14,4039,51.8,24.84749523809524,27.22085065649422,28.992066666666666,15.494333333333335,28.496533333333335,0
Central and South-Eastern Europe and CIS,2,1,11,41865,40,10,2,169,10,25,709,2,5862,18.0,20.410666666666664,18.658094380866658,26.008000000000003,21.32466666666667,27.20106666666667,0
Africa,4,9,7,29838,62,2,4,926,6,23,932,31,6574,51.8,20.05653333333333,31.945837440886947,23.165723809523808,16.65966666666667,33.72880000000001,0
Asia-Pacific,3,3,21,15351,14,7,2,817,2,23,1068,1,8906,18.0,25.41855238095238,19.207177860643206,29.184333333333335,3.4386666666666668,32.37726666666667,0
Central and South-Eastern Europe and CIS,1,4,7,26386,16,9,2,4216,10,48,1052,24,1585,8.5,37.54121904761905,32.521380709499525,26.9598,17.566333333333333,34.397933333333334,1
Central and South-Eastern Europe and CIS,3,5,18,45400,27,3,5,8943,7,52,24,36,8709,8.5,34.430866666666674,31.635020644921635,30.642133333333334,14.32,35.10706666666667,0
Asia-Pacific,2,3,18,45884,11,1,5,2604,9,40,543,39,4709,51.8,22.148123809523813,30.342477104853344,15.009371428571427,23.015666666666668,20.333533333333335,0
Developed Economies and EU,1,7,8,3979,53,10,3,1153,8,11,824,1,7553,46.9,28.761876190476194,17.115325818296117,20.749057142857144,22.62966666666667,37.11546666666667,0
Central and South-Eastern Europe and CIS,1,8,6,8667,57,2,4,572,3,58,909,29,498,46.9,34.24563809523809,28.22855142657123,33.24658095238095,14.772000000000002,27.916200000000003,0
Africa,2,7,11,30241,48,3,5,391,2,12,78,3,4807,46.9,27.73862857142857,32.186132899004186,30.767504761904764,13.187999999999999,26.472133333333336,0
Africa,4,8,24,7858,56,2,5,6876,4,44,942,34,3198,13.1,24.12529523809524,19.824082408240827,25.749514285714287,17.012666666666668,19.223266666666667,1
Asia-Pacific,3,8,1,27966,66,3,3,9799,4,20,1430,38,8263,13.1,29.815342857142863,21.050633634792053,27.751752380952382,19.201333333333334,27.1298,0
Middle East,3,5,17,45974,54,5,2,9532,5,40,865,6,6045,13.1,27.80042857142857,26.82829711542583,29.22657142857143,11.773,21.439466666666664,0
Developed Economies and EU,1,4,15,29899,23,10,3,652,6,10,427,11,1152,18.0,32.70384761904762,20.70622776563371,24.385580952380952,16.93,25.776733333333336,0
Africa,4,6,5,16415,70,1,1,487,3,37,1441,29,7668,46.9,20.602838095238095,27.989113197033987,19.243238095238098,2.7626666666666666,26.167266666666666,0
Developed Economies and EU,3,7,13,29487,69,6,3,369,2,41,1156,17,4908,18.0,36.85707619047619,16.755075507550757,28.46537142857143,17.836333333333336,30.559600000000003,0
Latin America and the Caribbean,3,1,19,42737,64,8,2,970,9,19,865,14,5148,18.0,37.70716190476191,26.01994485162802,34.156142857142854,15.886,23.563333333333333,0
Latin America and the Caribbean,3,3,5,464,61,3,3,484,10,57,440,36,510,13.1,21.441085714285713,27.186147186147192,22.802857142857142,21.078333333333333,25.077666666666666,0
Latin America and the Caribbean,2,5,21,17838,62,10,1,1378,4,9,152,3,6771,46.9,19.8156,12.96762533396197,18.558933333333336,14.892666666666669,30.19006666666667,0
Developed Economies and EU,1,6,11,32370,59,9,3,940,6,33,1231,36,4918,13.1,24.97617142857143,19.014315717286014,29.45987619047619,16.884,27.95393333333333,1
Middle East,5,2,13,14927,56,9,5,1601,4,19,892,23,115,8.5,24.695390476190475,30.40211163973541,40.8070380952381,16.56866666666667,15.61906666666667,0
Central and South-Eastern Europe and CIS,1,5,21,34553,37,7,1,7349,2,34,777,38,4827,8.5,34.79287619047619,17.38918177532039,21.15810476190476,9.499333333333333,21.4014,0
Developed Economies and EU,1,6,19,26529,60,9,5,986,7,45,348,33,8798,13.1,30.847752380952386,26.074964639321074,23.053504761904765,14.309666666666669,29.585733333333337,0
Latin America and the Caribbean,3,4,11,14608,31,6,2,2155,2,9,660,13,7200,12.0,37.00800952380953,26.012358378695016,25.61434285714286,9.808666666666666,26.738866666666667,0
Middle East,4,9,18,48036,65,4,4,290,5,49,1151,15,3781,12.0,32.03947619047619,22.53111025388253,25.78895238095238,19.549666666666667,40.12499999999999,1
Middle East,4,5,9,35191,50,5,1,3811,6,59,581,40,637,12.0,27.40044761904762,22.997914077121994,30.446438095238097,23.14,29.851400000000005,0
Latin America and the Caribbean,1,3,10,29717,58,1,4,3609,3,16,1200,3,9640,12.0,20.14677142857143,23.38503850385038,24.792009523809526,12.410333333333334,25.627466666666663,0
Middle East,2,7,1,28949,51,3,2,118,1,21,1161,15,2593,12.0,17.918114285714285,17.98854171131399,40.2266761904762,11.685666666666668,25.395866666666667,0
Asia-Pacific,1,1,23,41616,57,2,5,242,3,57,68,17,3873,46.9,29.280695238095237,21.198648436272205,21.831904761904763,12.882333333333335,26.666066666666666,0
Latin America and the Caribbean,1,7,4,40035,29,2,3,585,7,34,174,29,2469,51.8,30.28554285714286,17.793607932221793,19.017533333333333,16.75,25.624200000000002,0
Asia-Pacific,1,9,15,26478,17,1,3,4708,8,37,978,16,3271,8.5,35.6082380952381,21.513894246567517,20.206161904761906,11.175333333333333,29.3414,0
Africa,5,6,13,10023,61,6,1,740,4,27,1049,39,8464,46.9,31.103590476190472,20.582701127255586,17.384352380952382,18.166333333333334,31.839266666666667,0
Latin America and the Caribbean,5,8,7,2309,27,8,5,3110,3,30,842,18,6525,51.8,35.970800000000004,21.992470675638998,24.840733333333333,17.237333333333332,26.941866666666662,0
Central and South-Eastern Europe and CIS,5,3,14,45651,54,2,1,658,5,44,284,25,6404,12.0,36.362076190476195,21.118797594045123,24.974809523809522,11.964666666666668,14.220133333333337,0
Africa,2,10,21,46352,18,5,2,309,9,15,1486,1,1946,12.0,27.817238095238096,24.024459588816026,19.761333333333337,12.427,32.745000000000005,0
Africa,3,9,13,15152,38,9,4,925,7,48,965,27,1222,18.0,16.910809523809526,14.902333090451902,19.124438095238094,22.581,15.765600000000003,1
Latin America and the Caribbean,2,3,16,10737,47,2,1,962,7,50,217,17,3908,51.8,32.021857142857144,20.502393096452504,26.40279047619048,18.915666666666667,17.842466666666667,1
Asia-Pacific,4,5,22,33300,57,5,1,6640,10,60,650,26,8862,18.0,26.51251428571429,23.431671738602432,25.38699047619048,17.038666666666668,26.149533333333334,0
Middle East,4,2,3,24623,36,5,4,444,3,36,780,31,8114,12.0,30.07454285714286,24.996842541396997,23.677504761904768,14.906666666666668,21.23153333333334,0
Middle East,5,6,11,29956,10,5,4,1907,2,51,171,30,5937,12.0,26.22341904761905,19.65806580658066,16.88574285714286,21.831333333333333,27.988866666666663,1
Central and South-Eastern Europe and CIS,3,1,15,38708,46,1,5,3519,8,7,20,26,2551,8.5,27.44869523809524,24.654222565113653,27.209,10.590000000000002,23.7284,1
Central and South-Eastern Europe and CIS,1,4,17,27558,33,6,1,4523,4,7,739,27,6853,13.1,24.653495238095243,20.60376037603761,31.052495238095247,21.632666666666665,30.175799999999995,0
Africa,2,6,12,40392,36,9,3,6431,4,21,513,34,7528,8.5,26.099695238095244,14.765762290514767,21.577809523809528,18.7,28.09626666666667,0
Central and South-Eastern Europe and CIS,4,2,13,24402,55,9,1,4119,2,37,1083,23,7274,13.1,30.52290476190477,15.39019616247339,30.585571428571434,22.171333333333333,31.109466666666673,0
Central and South-Eastern Europe and CIS,1,1,6,2881,45,9,3,764,7,14,562,22,4474,46.9,33.85054285714286,12.121640735502123,22.273647619047622,16.94633333333333,24.52706666666667,0
Middle East,2,6,4,30197,53,3,1,363,2,10,158,19,3097,18.0,31.66847619047619,14.486734387724487,13.495342857142859,25.29466666666667,35.91493333333333,0
Central and South-Eastern Europe and CIS,2,6,2,39310,66,2,3,9383,3,8,1300,30,5461,51.8,20.10390476190476,11.886302916005885,22.657133333333334,15.525666666666671,33.296733333333336,1
Developed Economies and EU,2,2,4,42837,64,4,1,788,10,17,618,30,5068,18.0,29.67744761904762,21.555927021273558,21.819761904761904,7.091333333333334,33.762066666666676,0
Middle East,3,4,21,22792,27,5,4,469,9,53,1471,20,7657,13.1,30.834390476190478,23.852985298529852,21.8288,10.120333333333331,20.599800000000005,1
Asia-Pacific,1,9,12,42420,60,6,1,786,2,34,1135,35,5737,13.1,29.74570476190476,24.66259483091166,29.634428571428572,17.389,10.276733333333333,0
Asia-Pacific,4,6,3,11749,36,1,1,762,5,54,587,9,1663,51.8,33.82060952380952,18.698698441272697,17.6286380952381,20.593666666666664,15.313133333333335,0
Central and South-Eastern Europe and CIS,4,5,16,38868,67,7,2,275,8,56,635,34,7838,12.0,31.329371428571434,32.72908719443373,23.24207619047619,6.216000000000001,28.527933333333337,1
Central and South-Eastern Europe and CIS,2,3,16,37572,63,7,2,4227,4,53,354,27,6334,13.1,27.80914285714286,26.409512379809414,35.958104761904764,12.188000000000002,17.97833333333334,1
Asia-Pacific,4,7,17,9177,10,8,1,616,1,8,456,36,7977,46.9,34.64038095238096,9.926621233551929,10.758838095238097,14.765999999999998,25.114733333333334,0
Middle East,3,6,3,19392,23,2,3,657,2,11,787,5,177,13.1,20.721257142857144,27.11253982541112,22.47207619047619,21.721,30.420599999999997,1
