Location,Hygiene,Micromanagement,Working Hours,Salary,Age,Infrastructure,Food Quality,Incentives,Family Size,Experience,Share Price,Attrition,Contract Workers,Location_Score,Internal_Audit,External_Audit,Fin_Score,Loss_Score,Past_Score,IsUnderRisk
Developed Economies and EU,1,7,19,10512,31,2,3,773,2,58,843,37,7776,8.5,28.27306666666667,20.19020473475919,38.41957142857144,13.695333333333334,15.580133333333334,0
Africa,2,6,17,1636,46,9,5,634,1,47,616,27,9380,46.9,29.878333333333334,26.943180032288943,37.527657142857144,14.409000000000002,24.006533333333337,0
Central and South-Eastern Europe and CIS,4,8,10,5526,62,9,4,7051,8,52,1069,1,9477,13.1,23.70390476190476,16.316660237452318,34.80104761904762,20.862,23.554933333333334,0
Africa,1,10,21,37352,42,2,4,3055,6,13,48,27,396,51.8,36.038266666666665,23.869986998699872,24.124685714285718,9.137666666666668,22.743533333333335,0
Middle East,4,8,17,19989,15,4,4,630,8,44,1234,13,318,51.8,11.713057142857144,24.601060106010603,24.386266666666668,21.90266666666667,35.66360000000001,1
Middle East,2,8,15,47358,66,9,4,933,7,23,1055,36,1456,18.0,38.07080952380952,6.415198662723416,27.46554285714286,11.868666666666666,25.304066666666664,1
Latin America and the Caribbean,1,6,10,24898,13,8,4,432,3,40,668,37,8790,8.5,32.02078095238095,16.29117197434029,29.944257142857143,17.273666666666667,15.162133333333335,0
Africa,3,5,9,25855,68,10,4,6187,9,35,606,32,1180,8.5,32.66680952380953,21.71004243281471,40.06200952380953,13.024,23.366533333333336,0
Central and South-Eastern Europe and CIS,4,9,22,28221,50,1,2,640,6,7,784,21,1033,13.1,27.441552380952384,22.96746817538897,27.287838095238094,4.472333333333333,28.250333333333337,0
Central and South-Eastern Europe and CIS,2,5,7,48268,46,3,5,367,4,47,639,9,7528,18.0,36.64290476190477,17.662751989484665,14.21257142857143,14.463666666666667,24.105799999999995,0
Asia-Pacific,2,2,5,9313,19,7,4,3874,5,36,1320,12,8307,8.5,26.92368571428571,19.05134799194205,17.899933333333333,19.609333333333336,41.466800000000006,0
Middle East,3,9,6,21393,57,8,4,397,2,57,155,14,1104,18.0,30.218771428571433,18.081951052248083,35.08000952380953,10.001666666666667,25.279200000000003,1
Africa,3,9,2,27531,70,1,3,3924,5,13,402,24,8182,46.9,33.23302857142858,26.546811824039544,29.201428571428572,18.459,21.649533333333338,0
Africa,2,2,1,15413,32,1,3,1825,1,39,335,20,4807,12.0,26.332904761904768,22.775763290614776,34.40428571428571,16.556000000000004,28.401933333333336,0
Central and South-Eastern Europe and CIS,5,9,20,6012,65,4,5,770,9,7,988,7,5209,18.0,30.209285714285716,19.526666952409528,37.23705714285715,19.181666666666665,17.00113333333334,0
Developed Economies and EU,2,4,6,40841,21,2,4,568,5,27,631,18,1544,51.8,18.81337142857143,21.386667238152388,20.108780952380954,21.362333333333332,24.57453333333334,0
Developed Economies and EU,4,8,20,409,26,7,2,557,10,19,282,20,5002,46.9,24.69477142857143,18.77876359064478,33.62335238095239,14.307666666666668,13.052333333333333,1
Latin America and the Caribbean,1,1,10,9793,63,1,3,206,5,17,531,17,9523,13.1,22.634761904761902,13.045318817596046,23.358390476190475,13.257333333333335,23.557066666666664,0
Latin America and the Caribbean,3,10,20,3542,56,6,1,9604,9,6,674,33,187,18.0,30.222400000000004,22.905619133341908,19.09070476190476,10.372333333333335,32.390600000000006,0
Developed Economies and EU,5,1,24,21045,66,2,4,703,10,54,1340,33,8784,18.0,26.86884761904762,24.813981398139813,19.63781904761905,10.318666666666667,27.67813333333333,0
Latin America and the Caribbean,3,7,18,44180,11,8,5,380,9,22,1039,15,2153,18.0,26.466409523809524,16.994785192804997,26.320876190476188,5.184333333333333,23.590733333333336,0
Latin America and the Caribbean,4,10,21,35751,13,1,4,4314,10,50,984,35,2339,12.0,19.287295238095236,30.57039989713257,26.055933333333332,17.550666666666668,28.44526666666666,1
Latin America and the Caribbean,3,5,13,7445,38,3,5,560,4,20,340,28,1281,46.9,32.32768571428572,20.382509679539385,37.39718095238096,17.71966666666667,34.0152,0
Middle East,4,7,15,10823,69,1,4,2965,2,31,611,6,4560,13.1,19.8772380952381,23.553526781249555,32.019447619047625,11.249333333333333,17.5226,0
