Location,Hygiene,Micromanagement,Working Hours,Salary,Age,Infrastructure,Food Quality,Incentives,Family Size,Experience,Share Price,Attrition,Contract Workers,Location_Score,Internal_Audit,External_Audit,Fin_Score,Loss_Score,Past_Score,IsUnderRisk
Africa,5,10,10,1585,65,8,1,157,8,25,817,25,6857,18.0,25.968047619047624,14.35806437786636,25.09707619047619,13.179333333333332,36.24386666666667,0
Asia-Pacific,5,1,16,33428,66,9,4,5903,1,50,835,39,8698,51.8,30.491380952380954,17.18664723615219,27.949876190476193,16.390666666666664,32.30293333333334,0
Asia-Pacific,3,8,21,5683,33,10,3,313,8,12,667,14,4616,12.0,34.36601904761905,13.054391153401054,16.582885714285716,12.923000000000002,32.719466666666676,1
Middle East,5,6,21,43528,41,4,2,58,4,15,386,27,8097,46.9,29.601533333333336,9.669752689554672,30.119009523809524,15.796333333333335,23.0032,1
Asia-Pacific,5,9,13,16930,20,3,1,847,6,30,1319,31,8588,12.0,29.770085714285717,17.57941508436558,22.432238095238095,9.480666666666666,22.762666666666664,1
Central and South-Eastern Europe and CIS,3,10,4,16930,64,3,1,883,7,59,413,10,2010,12.0,25.646961904761913,30.146071750032142,37.3024380952381,11.126000000000001,22.94206666666667,0
Middle East,1,6,17,9218,56,5,2,4599,3,18,1139,19,1900,8.5,24.212809523809522,15.744603031731744,23.162304761904764,9.129,22.307333333333336,0
Africa,1,4,4,16820,13,5,5,880,9,29,21,21,1848,46.9,26.01411428571429,16.42051347991942,33.10766666666667,12.104333333333333,31.90426666666667,0
Africa,2,10,2,38161,54,4,2,653,1,38,122,10,6375,18.0,26.21958095238095,26.465389396082468,20.16312380952381,5.3053333333333335,26.76433333333334,1
Asia-Pacific,2,10,6,15162,19,8,2,2837,2,5,630,18,5520,12.0,27.192,22.620204877630623,33.38659047619048,7.2669999999999995,23.779866666666667,0
Africa,1,7,7,26257,33,10,5,7168,8,54,415,17,9722,13.1,37.07036190476191,18.776263340619774,22.977533333333337,23.01666666666667,28.587866666666674,0
Africa,3,6,4,30979,36,3,1,8481,2,42,553,13,5594,18.0,29.01976190476191,21.035474976069036,26.373580952380955,13.949,19.483733333333333,0
Africa,3,3,16,2709,23,1,3,381,7,33,250,33,3792,8.5,30.94406666666667,25.887931650307888,20.791619047619047,18.861666666666665,26.009133333333335,0
Latin America and the Caribbean,1,7,21,16825,35,9,2,5141,9,45,306,26,9185,8.5,21.360514285714288,15.835769291214838,29.26551428571429,11.814,32.47560000000001,0
Latin America and the Caribbean,2,3,4,38420,42,1,4,857,4,35,839,23,5229,8.5,20.852771428571433,20.50852228079951,34.60611428571429,17.12,27.044600000000003,1
Middle East,2,9,13,24849,15,5,5,825,8,35,147,25,1337,18.0,10.952371428571428,27.87208720872087,32.84262857142857,11.816333333333336,29.4018,1
Africa,3,4,1,38271,24,1,3,6596,9,23,186,22,8283,46.9,19.580190476190477,23.37948080522338,40.12534285714286,15.17,25.319133333333337,0
Africa,3,3,1,7694,64,2,3,9833,5,11,1133,26,3463,46.9,27.594952380952382,21.54721186404355,25.9352,14.457,19.018133333333335,0
Asia-Pacific,4,3,10,14681,15,1,1,8742,9,1,842,5,4348,46.9,32.97676190476191,19.41567013844242,21.18566666666667,16.805999999999997,16.8792,1
Asia-Pacific,3,1,15,10760,33,3,5,7230,2,17,319,16,7807,8.5,24.985161904761906,25.415355821296416,30.010276190476194,15.84866666666667,24.617,1
Asia-Pacific,5,3,2,40527,56,1,1,2276,9,51,874,36,1431,18.0,33.71648571428572,22.999542811423996,17.283057142857142,12.565000000000001,23.52226666666667,0
Latin America and the Caribbean,2,10,13,10347,12,7,5,849,5,45,1247,30,839,13.1,27.918104761904765,17.284657037132288,21.865,18.254000000000005,24.1594,1
Latin America and the Caribbean,3,7,16,20348,66,4,1,111,7,50,1479,37,5568,8.5,40.389676190476195,18.20917806066321,39.02161904761905,15.361666666666668,20.823666666666668,1
Developed Economies and EU,5,8,16,37799,47,7,1,2713,2,15,709,39,5165,51.8,20.965371428571427,26.91789178917892,38.86743809523809,13.689333333333334,30.565266666666673,0
Developed Economies and EU,5,6,13,1470,53,4,3,5422,3,2,913,17,1553,8.5,20.668295238095236,32.4918491849185,21.64114285714286,22.209333333333337,16.38406666666667,0
Middle East,3,3,8,46476,37,8,1,7891,10,56,531,36,1445,46.9,24.848200000000002,30.061534724901062,39.631914285714295,8.446000000000002,29.98946666666667,0
Africa,5,10,1,28609,42,3,4,799,2,47,883,8,539,18.0,27.321476190476197,27.41575586130042,16.034609523809525,15.360000000000001,20.543933333333335,0
Developed Economies and EU,3,3,10,31229,38,7,1,162,3,39,331,36,5170,13.1,22.294761904761906,11.500207163573501,29.42541904761905,16.217333333333332,32.3362,0
Central and South-Eastern Europe and CIS,2,2,13,32319,48,6,2,341,6,57,1125,37,6938,51.8,25.480361904761907,35.23129455802723,29.787200000000002,14.353333333333335,32.9042,0
Developed Economies and EU,3,4,21,30490,29,4,2,3492,6,10,1442,30,116,18.0,19.430704761904764,19.620147729058623,20.39953333333333,16.277333333333335,24.586800000000004,0
Developed Economies and EU,4,3,18,34288,33,3,2,7546,4,58,715,22,3949,13.1,27.18908571428571,10.816453073878817,21.799904761904763,8.021,20.574400000000004,0
Middle East,3,2,18,19142,65,8,1,9782,2,59,194,8,8379,18.0,28.432619047619045,18.640306887831642,31.48677142857143,9.354000000000001,21.02733333333333,0
Latin America and the Caribbean,2,2,2,37425,41,7,5,4802,2,17,1206,37,4212,12.0,25.524,21.542368522566544,36.14076190476191,16.21566666666667,22.065600000000003,0
Developed Economies and EU,1,3,17,34029,64,6,2,895,2,58,498,40,8730,46.9,21.746999999999996,17.2997871215693,13.462428571428573,11.700333333333335,18.56266666666667,0
Central and South-Eastern Europe and CIS,2,2,16,6282,59,7,3,603,4,4,1183,20,8312,51.8,31.293980952380956,14.507365022216506,24.680276190476192,6.873333333333334,34.18493333333334,0
Asia-Pacific,4,6,12,10733,16,9,1,1423,2,35,1263,13,8923,51.8,28.755238095238095,21.13017015987313,13.88664761904762,11.991666666666667,19.7604,0
Middle East,3,1,9,16314,66,4,5,8906,4,25,58,33,3763,13.1,31.27969523809524,29.333776234766333,31.340628571428574,9.158000000000001,16.480133333333335,0
Middle East,1,5,22,36361,45,7,4,366,10,27,1217,33,873,18.0,34.74693333333334,24.222493677939223,33.099085714285714,18.96566666666667,37.18193333333334,0
Asia-Pacific,5,9,10,43862,19,2,4,6428,3,49,831,33,862,46.9,20.0726,17.913462774848917,31.600561904761904,10.487,15.502666666666668,0
Central and South-Eastern Europe and CIS,1,4,24,28550,57,5,1,7802,6,30,1035,29,6530,12.0,24.718114285714286,17.462889146057464,28.876380952380952,16.62766666666667,30.954866666666668,0
