Location,Hygiene,Micromanagement,Working Hours,Salary,Age,Infrastructure,Food Quality,Incentives,Family Size,Experience,Share Price,Attrition,Contract Workers,Location_Score,Internal_Audit,External_Audit,Fin_Score,Loss_Score,Past_Score,IsUnderRisk
Central and South-Eastern Europe and CIS,4,6,15,41969,11,7,5,527,6,25,339,21,9923,51.8,31.72838095238096,11.84992784992785,19.564885714285715,18.516,23.412133333333333,0
Latin America and the Caribbean,2,3,6,20369,61,5,2,283,6,44,629,35,7239,18.0,13.63695238095238,17.231023102310232,33.70490476190477,20.485333333333333,23.96926666666667,0
Central and South-Eastern Europe and CIS,4,10,5,46719,60,5,4,327,10,45,502,37,3930,51.8,27.64947619047619,10.998828454274,20.151980952380953,16.383666666666667,25.933333333333337,0
Middle East,5,4,13,2860,21,8,2,904,4,8,791,23,6039,12.0,33.41010476190476,18.621605017644622,23.877495238095236,23.886333333333333,26.7922,0
Central and South-Eastern Europe and CIS,4,2,1,8739,44,4,3,406,8,26,1445,12,7592,18.0,32.9158761904762,15.251968053948254,33.33407619047619,17.993333333333332,17.232333333333337,0
Africa,2,6,15,178,65,10,5,199,3,52,418,37,7052,51.8,28.075866666666666,15.194648036232195,21.226514285714284,17.211333333333336,26.6886,0
Central and South-Eastern Europe and CIS,5,3,12,34824,36,4,3,2781,7,40,385,1,8769,46.9,26.656333333333336,24.984098409840986,27.857342857142857,20.434,30.514200000000002,0
Developed Economies and EU,4,7,9,44617,21,2,1,165,1,55,1481,15,9338,8.5,32.91601904761905,12.822082208220822,30.46336190476191,15.437333333333333,22.900466666666667,0
Developed Economies and EU,5,4,13,22753,70,6,3,339,1,34,643,35,567,12.0,25.459771428571425,21.05166230908805,33.123619047619044,16.793000000000003,19.221066666666665,0
Central and South-Eastern Europe and CIS,1,4,19,31682,14,10,4,526,6,29,989,39,5109,18.0,24.573104761904762,17.887945937450887,26.910857142857143,16.965333333333334,26.8592,0
Middle East,1,6,12,2595,32,5,4,222,6,15,1194,30,5225,13.1,29.388038095238095,17.294615175803298,23.785028571428573,16.99533333333334,34.897200000000005,0
Latin America and the Caribbean,1,4,22,33306,69,6,1,303,7,44,427,30,449,12.0,28.065638095238093,20.593587930221595,22.692047619047617,16.412666666666667,23.513333333333332,0
Asia-Pacific,1,6,8,16848,10,3,1,2576,9,14,1413,22,7962,51.8,22.14668571428572,17.08895175231809,26.163619047619047,14.194999999999999,30.092066666666668,0
Central and South-Eastern Europe and CIS,4,6,24,31545,33,7,2,2787,9,28,1464,39,6674,51.8,45.55561904761905,26.577000557198577,34.208885714285714,14.943333333333337,36.8414,1
Central and South-Eastern Europe and CIS,1,8,12,41982,31,6,2,4432,8,47,575,32,5559,51.8,27.893580952380958,29.580800937236578,31.861266666666666,15.63466666666667,21.994000000000003,0
Africa,1,8,16,45127,41,9,1,590,1,44,410,36,5579,46.9,31.557047619047623,15.499578529281502,28.923771428571428,13.099333333333336,41.5076,0
Asia-Pacific,4,6,18,14334,62,9,5,6520,7,28,1291,26,2492,13.1,22.675628571428575,19.211178260683212,28.677971428571425,11.580333333333332,22.455533333333335,1
Africa,3,1,11,16977,51,6,3,4616,8,21,1093,18,7612,51.8,27.146771428571427,18.97431171688598,30.723638095238098,21.468333333333334,28.9382,0
Middle East,1,1,23,24928,23,8,2,319,5,59,961,25,2157,12.0,28.775190476190478,16.580058005800584,31.214657142857146,18.513333333333335,20.216000000000005,0
Middle East,4,4,24,13240,52,3,4,3822,2,55,458,28,1427,13.1,33.46621904761905,16.75076079036475,17.675104761904763,6.399000000000001,28.328266666666668,0
Africa,4,9,13,42982,39,10,4,805,4,19,36,3,7752,46.9,23.10890476190476,18.704999071335706,20.119542857142857,19.04566666666667,26.88046666666667,1
Asia-Pacific,4,2,9,27547,17,5,1,9938,4,43,679,4,6422,18.0,31.98387619047619,23.362121926478366,28.57466666666667,17.236666666666668,17.059933333333333,0
Asia-Pacific,3,10,16,7456,67,1,3,872,8,10,230,3,3694,51.8,26.439885714285715,26.58777306302059,33.65321904761905,25.508999999999997,30.472533333333335,1
Middle East,1,10,22,38854,68,1,4,7150,9,8,794,13,4896,12.0,23.95171428571429,25.584587030131583,29.000695238095243,9.968666666666666,27.505066666666668,0
Developed Economies and EU,5,2,13,42534,36,7,4,491,5,6,979,27,6796,18.0,30.953866666666674,20.438858171531436,30.15652380952381,22.420666666666666,36.218666666666664,0
Latin America and the Caribbean,2,7,4,37305,42,1,1,5666,4,55,1079,33,5820,51.8,23.443009523809526,18.427885645707427,33.46250476190476,12.094333333333335,26.729133333333333,0
Central and South-Eastern Europe and CIS,1,1,4,11447,17,4,4,425,3,14,1044,19,3685,8.5,24.252219047619047,30.32416098752733,14.517219047619049,13.638000000000003,26.32073333333333,1
Middle East,2,10,24,31931,60,7,3,5196,4,32,1458,17,5686,13.1,30.090085714285713,15.64959353078165,22.49754285714286,17.43733333333334,36.089133333333336,0
Africa,1,6,1,31691,55,8,3,543,10,19,593,28,6866,12.0,31.00028571428572,21.27368451130828,20.982333333333337,4.498333333333334,21.168733333333336,0
Asia-Pacific,3,4,24,13335,16,4,1,489,4,10,607,33,9009,51.8,38.816114285714285,19.814752903861816,25.097114285714284,9.795666666666666,30.081266666666668,0
Africa,3,10,1,32067,65,4,1,4914,2,7,1290,31,5449,13.1,30.445876190476195,20.96819681968197,33.72884761904762,8.712333333333333,27.715266666666665,0
Latin America and the Caribbean,4,9,2,23823,24,7,2,109,7,27,1013,28,5720,13.1,30.25887619047619,9.207177860643208,31.121447619047625,12.955000000000002,26.269400000000005,0
Middle East,2,1,5,38516,60,6,4,1677,4,16,460,3,4467,12.0,16.391542857142856,26.62137642335662,20.563219047619047,15.506333333333334,21.415,0
Latin America and the Caribbean,2,7,11,47427,45,7,4,7599,8,38,1359,1,4654,8.5,26.114409523809524,18.663309188061667,17.40847619047619,9.364333333333336,27.427200000000003,0
Central and South-Eastern Europe and CIS,4,4,20,39754,30,6,2,780,10,57,1441,5,8116,46.9,19.48744761904762,32.6967125283957,21.385,13.523333333333332,25.705933333333338,0
Middle East,2,10,8,1330,54,6,4,8110,9,45,1471,31,5705,12.0,26.16917142857143,27.836683668366835,38.55359047619048,17.915333333333333,28.082066666666673,0
Africa,2,3,3,26767,64,8,3,191,9,28,1491,8,9622,51.8,20.851133333333333,16.86661523295187,30.629314285714294,7.952666666666669,21.864400000000003,0
