Location,Hygiene,Micromanagement,Working Hours,Salary,Age,Infrastructure,Food Quality,Incentives,Family Size,Experience,Share Price,Attrition,Contract Workers,Location_Score,Internal_Audit,External_Audit,Fin_Score,Loss_Score,Past_Score,IsUnderRisk
Developed Economies and EU,4,1,11,40923,60,6,4,938,4,52,167,36,1585,13.1,19.634561904761906,20.484362721986482,14.60577142857143,21.597333333333335,28.728066666666667,1
Africa,2,8,7,6442,62,4,5,649,1,11,1496,7,9390,51.8,31.693580952380955,11.468361121826467,32.08484761904762,21.02733333333333,18.970000000000002,0
Africa,4,9,15,12926,13,2,5,9021,8,19,1141,24,3411,18.0,34.82406666666667,24.958010086722958,15.631009523809524,17.350333333333335,29.705533333333335,0
Central and South-Eastern Europe and CIS,4,10,20,29639,47,9,1,932,4,23,1443,23,6834,51.8,27.74661904761905,6.91950623633792,26.29594285714286,12.372666666666667,29.648533333333333,1
Central and South-Eastern Europe and CIS,4,6,16,1060,16,3,3,565,10,12,476,37,8535,13.1,29.14656190476191,22.213535639278213,28.015647619047623,9.664333333333335,26.513733333333334,0
Africa,1,4,13,1578,39,6,2,348,3,20,777,20,2031,51.8,35.91699047619048,23.2961867615333,30.01875238095239,5.522666666666668,28.094066666666667,1
Asia-Pacific,5,7,4,41840,53,3,4,8611,1,28,1075,19,1050,46.9,34.10956190476191,29.954595459545956,22.048057142857147,21.648333333333333,19.7216,0
Developed Economies and EU,3,5,14,35549,11,5,2,9203,4,43,246,11,9324,18.0,31.620514285714286,20.56837112282657,35.76442857142857,19.973000000000003,17.872133333333334,0
Middle East,3,7,5,26467,60,10,2,1130,4,16,1315,20,6844,46.9,31.787466666666674,24.60741788464561,23.919190476190476,13.847666666666667,25.729866666666666,0
Developed Economies and EU,3,5,11,25536,45,9,5,2239,9,60,719,13,7898,13.1,21.45910476190476,16.78107810781078,22.231647619047624,23.967666666666666,26.3828,0
Africa,5,8,1,18609,67,10,5,672,7,16,113,21,6390,46.9,39.11011428571429,17.508893746517508,26.3788761904762,22.086333333333332,34.08980000000001,0
